CourseId,CourseSection,CourseName,Location,StartDate,EndDate,Start_Time,End_Time,DurationMinutes,Class_Days,Description
HIS1012,A,Humanities II: Renaissance to Present,LEWIS 102,8/29/2022,12/16/2022,1:00:00 PM,2:00:00 PM,60,MWF,HIS1012A: Humanities II: Renaissance to Present
HIS1023,A,Global History I: to 1500,ADMIN 013,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,TuF,HIS1023A: Global History I: to 1500
HIS1031,A,History of World Art I,LEWIS 003,8/29/2022,12/16/2022,2:45:00 PM,4:15:00 PM,90,Friday,HIS1031A: History of World Art I
HIS1031,A,History of World Art I,ONLINE ,8/29/2022,12/16/2022,2:45:00 PM,4:15:00 PM,90,Tuesday,HIS1031A: History of World Art I
HIS1031,B,History of World Art I,LEWIS 003,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,Friday,HIS1031B: History of World Art I
HIS1031,B,History of World Art I,ONLINE ,8/29/2022,12/16/2022,1:00:00 PM,2:00:00 PM,60,Wednesday,HIS1031B: History of World Art I
HIS2031,A,Civil War & Reconstruction,ADMIN 015,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,TuF,HIS2031A: Civil War & Reconstruction
HIS3013,A,ST: Civil Rights & Social Movements,ADMIN 015,8/29/2022,12/16/2022,10:30:00 AM,12:00:00 PM,90,TuF,HIS3013A: ST: Civil Rights & Social Movements
HIS3013,B,ST: Civil Rights & Social Movements,ADMIN 015,8/29/2022,12/16/2022,10:30:00 AM,12:00:00 PM,90,MTh,HIS3013B: ST: Civil Rights & Social Movements
HTH3011,A,ST:Kinesiology,STEM 104,8/29/2022,12/16/2022,1:00:00 PM,2:00:00 PM,60,MWF,HTH3011A: ST:Kinesiology
INT2012,A,ST: STEM Identity and Community,STEM 111,8/29/2022,12/16/2022,5:30:00 PM,6:30:00 PM,60,Wednesday,INT2012A: ST: STEM Identity and Community
INT3001,A,Interdisciplinary Studies Seminar,ADMIN 014,8/29/2022,12/16/2022,10:30:00 AM,12:00:00 PM,90,MTh,INT3001A: Interdisciplinary Studies Seminar
INT4000,A,ST: Interdisc Studies Capstone I,ADMIN 206,8/29/2022,12/16/2022,2:45:00 PM,4:15:00 PM,90,MTh,INT4000A: ST: Interdisc Studies Capstone I
INT4001,A,Interdisciplinary Studies Capstone,ADMIN 206,8/29/2022,12/16/2022,2:45:00 PM,4:15:00 PM,90,TuF,INT4001A: Interdisciplinary Studies Capstone
JRN2011,A,ST: Journalism,LEWIS 005,8/29/2022,12/16/2022,8:30:00 AM,10:00:00 AM,90,TuF,JRN2011A: ST: Journalism
JRN2021,A,Multimedia Journalism,LEWIS 003,8/29/2022,12/16/2022,2:45:00 PM,4:15:00 PM,90,MTh,JRN2021A: Multimedia Journalism
LIT2018,A,Short Fiction,ADMIN 206,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,TuF,LIT2018A: Short Fiction
