CourseId,CourseSection,CourseName,Location,StartDate,EndDate,Start_Time,End_Time,DurationMinutes,Class_Days,Description
COM1011,D,Introduction to Communications,LEWIS 003,8/29/2022,12/16/2022,8:30:00 AM,10:00:00 AM,90,MW,COM1011D: Introduction to Communications
COM1011,E,Introduction to Communications,LEWIS 003,8/29/2022,12/16/2022,8:30:00 AM,10:00:00 AM,90,TuF,COM1011E: Introduction to Communications
COM1011,F,Introduction to Communications,LEWIS 004,8/29/2022,12/16/2022,4:30:00 PM,5:30:00 PM,60,MWF,COM1011F: Introduction to Communications
COM1011,G,Introduction to Communications,LEWIS 005,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,MTh,COM1011G: Introduction to Communications
COM1111,A,ST: Digital Storytelling 1,LEWIS 102,8/29/2022,12/16/2022,3:00:00 PM,4:00:00 PM,60,Tuesday,COM1111A: ST: Digital Storytelling 1
COM1160,A,Radio Training,FAB THEATR,8/29/2022,12/16/2022,4:30:00 PM,5:30:00 PM,60,Wednesday,COM1160A: Radio Training
COM1180,A,Mediation Skills,LEWIS 102,8/29/2022,12/16/2022,11:30:00 AM,12:30:00 PM,60,Thursday,COM1180A: Mediation Skills
COM2021,A,Interpersonal Communication,LEWIS 005,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,TuF,COM2021A: Interpersonal Communication
COM2071,A,Public Speaking,ADMIN AUDIT,8/29/2022,12/16/2022,10:30:00 AM,12:00:00 PM,90,TuF,COM2071A: Public Speaking
COM2160,A,ST: Radio Operation,FAB THEATR,8/29/2022,12/16/2022,4:30:00 PM,5:30:00 PM,60,Wednesday,COM2160A: ST: Radio Operation
COM3021,A,Relationships & Relational Communication,LEWIS AUDIT,8/29/2022,12/16/2022,10:30:00 AM,12:00:00 PM,90,TuF,COM3021A: Relationships & Relational Communication
COM3041,A,ST: Leadership & Facilitation,LEWIS AUDIT,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,TuF,COM3041A: ST: Leadership & Facilitation
COM3061,A,ST: Guided Leadership Practicum,LEWIS 005,8/29/2022,12/16/2022,2:45:00 PM,4:15:00 PM,90,TuF,COM3061A: ST: Guided Leadership Practicum
COM3075,A,Radio Programming,LEWIS 003,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,MTh,COM3075A: Radio Programming
COM3101,A,Publication Management,LEWIS 104,8/29/2022,12/16/2022,3:00:00 PM,4:00:00 PM,60,Thursday,COM3101A: Publication Management
COM3111,A,ST: Digital Storytelling 3,LEWIS 102,8/29/2022,12/16/2022,3:00:00 PM,4:00:00 PM,60,Tuesday,COM3111A: ST: Digital Storytelling 3
COM4000,A,ST: Capstone ,LEWIS 004,8/29/2022,12/16/2022,10:30:00 AM,12:00:00 PM,90,MTh,COM4000A: ST: Capstone 
COM4160,A,ST: Radio Leadership,FAB THEATR,8/29/2022,12/16/2022,4:30:00 PM,5:30:00 PM,60,Wednesday,COM4160A: ST: Radio Leadership
CRW1011,A,Creative Writing,STEM 111,8/29/2022,12/16/2022,10:30:00 AM,12:00:00 PM,90,TuF,CRW1011A: Creative Writing
